"Name","Color","occasion"
"Razzmatazz Truffle Martini","['brown']","['birthday', 'ladies-night', 'spring']"
"Red Velvet Cake Martini","['brown']","['birthday', 'ladies-night', 'holiday', 'valentines-day']"
"Banana Cinnamon Mojito","['brown']","['spring', 'summer']"
"Strawberry Mai Tai","['brown']","['summer', 'tropical']"
"Hot Buttered Spiced Rum","['brown']","['fall', 'halloween', 'holiday', 'thanksgiving']"
"Coconut Old Fashioned","['brown']","['tropical']"
"Chocolate Covered Cherry","['brown']","['birthday', 'holiday', 'valentines-day']"
"Take 9","['brown']",NA
"Maple Leaf","['brown']","['fall', 'thanksgiving']"
"New Fashioned","['brown']",NA
"Hats Off Julep","['brown']","['spring', 'summer']"
"Hornitos Black Barrel Tequila Old Fashioned","['brown']","['fall', 'thanksgiving', 'winter']"
"Horchata","['brown']","['spring']"
"Death and Taxes","['brown']","['spring']"
"Mexican Mule","['brown']","['bbq', 'summer']"
"Peppermint Hot Chocolate","['brown']","['christmas', 'holiday', 'winter']"
"Mocha Razz-Tini","['brown']","['birthday', 'holiday', 'valentines-day', 'winter']"
"Peach Iced Tea","['brown']","['bbq', 'brunch', 'fall']"
"Sunset Tea","['brown']","['summer']"
"French 75","['yellow']","['birthday', 'holiday', 'new-years', 'wedding']"
"Gimlet","['yellow']","['birthday', 'brunch', 'spring', 'summer']"
"Bee's Knees","['yellow']","['spring', 'summer']"
"Kentucky Made","['yellow']","['bbq', 'fall', 'spring', 'summer']"
"Ginger Buck","['yellow']","['bbq', 'brunch', 'fall', 'spring', 'summer']"
"Mai Tai","['yellow']","['spring', 'summer', 'tropical']"
"CV The French Twist","['yellow']","['brunch']"
"Sipsmith Martini","['yellow']","['fall', 'holiday', 'thanksgiving']"
"Courvoisier Gala","['yellow']","['fall', 'spring', 'summer']"
"SQRRL Top Banana","['yellow']","['bbq', 'birthday', 'brunch', 'fall', 'summer', 'tropical']"
"Still Steam","['yellow']","['fall', 'holiday', 'winter']"
"Kilbeggan Brosna Sour","['yellow']","['holiday']"
"Gingerbread Sour","['yellow']","['holiday']"
"Gin Basil Smash","['yellow', 'green']","['bbq', 'brunch', 'summer']"
"Yellowhammer","['yellow']","['game-day']"
"Black & Gold","['yellow']","['game-day']"
"Glasgow Seelbach","['yellow']","['fall']"
"Sauza Cilantro Jalapeno Margarita","['yellow']","['fall', 'spring', 'summer']"
"EFFEN Blood Orange Mimosa","['yellow']","['ladies-night', 'brunch', 'fall']"
"Buttershots Old Fashioned","['yellow']","['fall', 'holiday']"
"Rye Opener","['yellow']","['fall']"
"Rye Squeeze","['yellow']","['fall']"
"Laphroaig Penicillin","['yellow']","['fall', 'holiday']"
"Cruzan Mai Tai","['yellow']","['bbq', 'summer', 'tropical']"
"Derby Fizz","['yellow']","['bbq', 'spring']"
"Pineapple Crush","['yellow']","['bbq', 'spring', 'summer', 'tropical']"
"Derby Spritzer","['yellow']","['bbq', 'spring']"
"Banana ‘Nana Daiquiri","['yellow']","['bbq', 'summer', 'tropical']"
"Sparkling Cherry Sangria","['yellow']","['bbq', 'spring', 'summer']"
"Everblooming Fizz","['yellow']","['bbq', 'spring', 'summer']"
"Spicy Cucumber Margarita","['yellow']","['bbq', 'spring', 'summer']"
