Name,Link,Ingredients_x,Main Spirit,Flavor,Rating,Ratings Count,Ingredients_y,Color,Occasion
Roku Gin Sonic,https://www.thecocktailproject.com/drink-recipes/roku-gin-sonic,"Suntory Roku Gin, Soda Water, Suntory Roku Gin, Soda Water, Tonic Water, Lemon Peel",Gin,Refreshing,3,70,"Suntory Roku Gin, Soda Water, Suntory Roku Gin, Soda Water, Tonic Water, Lemon Peel",['clear'],"['bbq', 'christmas', 'holiday', 'summer']"
Courvoisier Gala,https://www.thecocktailproject.com/drink-recipes/courvoisier-gala,"Courvoisier VS Cognac, Fever-Tree Sparkling Lemon Soda, Courvoisier VS Cognac, Fever-Tree Sparkling Lemon Soda, Lemon Wheel",Cognac,Sour,4,28,"Courvoisier VS Cognac, Fever-Tree Sparkling Lemon Soda, Courvoisier VS Cognac, Fever-Tree Sparkling Lemon Soda, Lemon Wheel",['yellow'],"['fall', 'spring', 'summer']"
SQRRL An Apple A Day,https://www.thecocktailproject.com/drink-recipes/sqrrl-apple-day,"SQRRL Peanut Butter Whiskey, Apple Cider, SQRRL Peanut Butter Whiskey, Apple Cider, Lemon Juice, Maple Syrup, Cinnamon",Whiskey,Sweet,3,52,"SQRRL Peanut Butter Whiskey, Apple Cider, SQRRL Peanut Butter Whiskey, Apple Cider, Lemon Juice, Maple Syrup, Cinnamon",['red'],"['christmas', 'fall', 'game-day', 'thanksgiving', 'winter']"
SQRRL Top Banana,https://www.thecocktailproject.com/drink-recipes/sqrrl-top-banana,"SQRRL Peanut Butter Whiskey, Cruzan Banana Rum, SQRRL Peanut Butter Whiskey, Cruzan Banana Rum, Cream, Toasted Coconut",Rum,Fruity,3,37,"SQRRL Peanut Butter Whiskey, Cruzan Banana Rum, SQRRL Peanut Butter Whiskey, Cruzan Banana Rum, Cream, Toasted Coconut",['yellow'],"['bbq', 'birthday', 'brunch', 'fall', 'summer', 'tropical']"
Sauza Classic Margarita,https://www.thecocktailproject.com/drink-recipes/classic-margarita,"Sauza Silver Tequila, Lime Juice, Sauza Silver Tequila, Lime Juice, DeKuyper Triple Sec Liqueur, Simple Syrup, Lime",Tequila,Sweet,3,78,"Sauza Silver Tequila, Lime Juice, Sauza Silver Tequila, Lime Juice, DeKuyper Triple Sec Liqueur, Simple Syrup, Lime",['clear'],['summer']
Cruzan Safe Harbor,https://www.thecocktailproject.com/drink-recipes/dark-and-stormy,"Cruzan Aged Dark Rum, Cruzan Black Strap Rum, Cruzan Aged Dark Rum, Cruzan Black Strap Rum, Fever-Tree Ginger Beer, Lime Wedge",Rum,,3,43,"Cruzan Aged Dark Rum, Cruzan Black Strap Rum, Cruzan Aged Dark Rum, Cruzan Black Strap Rum, Fever-Tree Ginger Beer, Lime Wedge",['brown'],"['bbq', 'christmas', 'holiday', 'summer']"
El Tesoro Paloma,https://www.thecocktailproject.com/drink-recipes/-el-tesoro-paloma,"El Tesoro Blanco Tequila, Fever-Tree Pink Grapefruit, El Tesoro Blanco Tequila, Fever-Tree Pink Grapefruit, Lime Wedge, Spice Rim (instead of salt), Grapefruit Wedge",Tequila,Refreshing,3,54,"El Tesoro Blanco Tequila, Fever-Tree Pink Grapefruit, El Tesoro Blanco Tequila, Fever-Tree Pink Grapefruit, Lime Wedge, Spice Rim (instead of salt), Grapefruit Wedge",['red'],"['bbq', 'christmas', 'holiday', 'summer']"
SQRRL Carajillo,https://www.thecocktailproject.com/drink-recipes/sqrrl-carajillo,"SQRRL Peanut Butter Whiskey, Hornitos Reposado Tequila, SQRRL Peanut Butter Whiskey, Hornitos Reposado Tequila, Espresso, Coffee Beans",Tequila,Sweet,3,41,"SQRRL Peanut Butter Whiskey, Hornitos Reposado Tequila, SQRRL Peanut Butter Whiskey, Hornitos Reposado Tequila, Espresso, Coffee Beans",['brown'],"['bbq', 'brunch', 'wedding']"
SQRRL PB Manhattan,https://www.thecocktailproject.com/drink-recipes/sqrrl-pb-manhattan,"SQRRL Peanut Butter Whiskey, Knob Creek Straight Rye Whiskey, SQRRL Peanut Butter Whiskey, Knob Creek Straight Rye Whiskey, Sweet Vermouth, Angostura Bitters, Maraschino Cherries",Whiskey,Sweet,3,59,"SQRRL Peanut Butter Whiskey, Knob Creek Straight Rye Whiskey, SQRRL Peanut Butter Whiskey, Knob Creek Straight Rye Whiskey, Sweet Vermouth, Angostura Bitters, Maraschino Cherries",['brown'],"['bbq', 'holiday', 'winter']"
Classic Hornitos Paloma,https://www.thecocktailproject.com/drink-recipes/classic-hornitos-paloma,"Hornitos Plata Tequila, Pink Grapefruit Juice, Hornitos Plata Tequila, Pink Grapefruit Juice, Simple Syrup, Club Soda",Tequila,Fruity,3,28,"Hornitos Plata Tequila, Pink Grapefruit Juice, Hornitos Plata Tequila, Pink Grapefruit Juice, Simple Syrup, Club Soda",['pink'],"['bbq', 'spring', 'summer']"
