Name,Link,Ingredients,Main Spirit,Flavor,Rating,Ratings Count
Summer Mash Up,https://www.thecocktailproject.com/drink-recipes/summer-mash-up,"Maker's Mark Bourbon, DeKuyper Triple Sec Liqueur, Maker's Mark Bourbon, DeKuyper Triple Sec Liqueur, Orange Juice, Pineapple Juice, Grenadine, Pineapple Wedge, Maraschino Cherries",Bourbon,Sweet,3,35
Old Fashioned,https://www.thecocktailproject.com/drink-recipes/old-fashioned,"Maker's Mark Bourbon, Water, Maker's Mark Bourbon, Water, Bitters, Sugar, Cherry, Variations of the Classic Martini",Bourbon,Sweet,3,96
The Chee Chee,https://www.thecocktailproject.com/drink-recipes/chee-chee,"Maker's Mark Bourbon, Blood Orange, Slice, Maker's Mark Bourbon, Blood Orange, Slice, Amarena Cherry, Marsala, Dry, Averna Amaro",Bourbon,Sweet,3,50
The Fiscal Agent,https://www.thecocktailproject.com/drink-recipes/fiscal-agent,"Maker's Mark Bourbon, Green Chartreuse Liqueur, Maker's Mark Bourbon, Green Chartreuse Liqueur, Maraschino Liqueur, Orange Zest And Orange Peel, Burnt",Bourbon,Sweet,3,54
The Unnecessary Noise,https://www.thecocktailproject.com/drink-recipes/unnecessary-noise,"Maker's Mark Bourbon, Aperol Aperitif, Maker's Mark Bourbon, Aperol Aperitif, Absinthe, Rhubarb Bitters, Orange Zest",Bourbon,Sweet,3,34
Kentucky Coffee,https://www.thecocktailproject.com/drink-recipes/kentucky-coffee,"Maker's Mark Bourbon, Irish Cream, Maker's Mark Bourbon, Irish Cream, DeKuyper Hazelnut Schnapps Liqueur, Hot Coffee, Whipped Cream",Bourbon,Hot,3,60
Yuzu Toddy,https://www.thecocktailproject.com/drink-recipes/yuzu-toddy,"Maker's Mark Bourbon, Yuzu Honey, Maker's Mark Bourbon, Yuzu Honey, Yuzu Juice, Hot Water, Easy Ice Tips",Bourbon,Hot,3,28
Bourbon Ball,https://www.thecocktailproject.com/drink-recipes/bourbon-ball,"Maker's Mark Bourbon, DeKuyper Creme de Cocoa White Liqueur, Maker's Mark Bourbon, DeKuyper Creme de Cocoa White Liqueur, DeKuyper Hazelnut Schnapps Liqueur, Heavy Cream, Whipped Cream",Bourbon,Sweet,3,92
Citrus Basil Manhattan,https://www.thecocktailproject.com/drink-recipes/citrus-basil-manhattan,"Maker's Mark Bourbon, Lemon Juice, Maker's Mark Bourbon, Lemon Juice, Simple Syrup, Basil Leaves, Bitters, Lemon Twist",Bourbon,Sweet,3,57
Dram Sour,https://www.thecocktailproject.com/drink-recipes/dram-sour,"Maker's Mark Bourbon, Lemon Juice, Maker's Mark Bourbon, Lemon Juice, Bitters, Egg Whites, Powdered, Lemon Peel",Bourbon,Sour,3,21
Le Provocateur,https://www.thecocktailproject.com/drink-recipes/le-provocateur,"Maker's Mark Bourbon, DeKuyper Peachtree Schnapps Liqueur, Maker's Mark Bourbon, DeKuyper Peachtree Schnapps Liqueur, Lime Juice, Bitters, Pear, Sliced",Bourbon,Sweet,3,33
Makers Mark Manhattan,https://www.thecocktailproject.com/drink-recipes/makers-mark-manhattan,"Maker's Mark Bourbon, Vermouth, Sweet, Maker's Mark Bourbon, Vermouth, Sweet, Cherry Juice, Maraschino, Maraschino Cherries, Ice",Bourbon,Sweet,3,72
Man O War,https://www.thecocktailproject.com/drink-recipes/man-o-war,"Maker's Mark Bourbon, DeKuyper Orange Curacao Liqueur, Maker's Mark Bourbon, DeKuyper Orange Curacao Liqueur, Vermouth, Sweet, Orange Juice, Maraschino Cherries",Bourbon,Sweet,3,43
Oh Henry,https://www.thecocktailproject.com/drink-recipes/oh-henry,"Maker's Mark Bourbon, Ginger Ale, Maker's Mark Bourbon, Ginger Ale, Lemon Rind",Bourbon,Sweet,3,28
The Samuels,https://www.thecocktailproject.com/drink-recipes/the-samuels,"Maker's Mark Bourbon, DeKuyper Amaretto Liqueur, Maker's Mark Bourbon, DeKuyper Amaretto Liqueur, Cranberry Juice, Lemon Juice, Orange Zest, Flamed Oils, Fresh Ingredient Enhancements",Bourbon,Sweet,3,32
After Midnight in Kentucky,https://www.thecocktailproject.com/drink-recipes/after-midnight-in-kentucky,"Maker's Mark Bourbon, Blackberries, Maker's Mark Bourbon, Blackberries, DeKuyper Razzmatazz Schnapps Liqueur, Ginger Ale, Secrets of Citrus",Bourbon,Sweet,3,35
"Makers Mark  
  Mint Julep",https://www.thecocktailproject.com/drink-recipes/makers-mark-mint-julep,"Maker's Mark Bourbon, Simple Syrup, Maker's Mark Bourbon, Simple Syrup, Fresh Mint Leaves",Bourbon,Sweet,3,71
Makers Mark Mojito,https://www.thecocktailproject.com/drink-recipes/makers-mark-mojito,"Maker's Mark Bourbon, Lime Juice, Maker's Mark Bourbon, Lime Juice, Sugar, Fresh Mint Leaves, DeKuyper Triple Sec Liqueur, Lime Wedges",Bourbon,Sweet,3,40
Spaghetti Western,https://www.thecocktailproject.com/drink-recipes/spaghetti-western,"Maker's Mark Bourbon, Campari, Maker's Mark Bourbon, Campari, Lemon Juice, Simple Syrup, Salt, Tecate Beer, Cherry Tomatoes, Sweet, Lemon Peel",Beer,Sweet,3,30
Strawberry Julep,https://www.thecocktailproject.com/drink-recipes/strawberry-julep,"Maker's Mark Bourbon, Strawberries, Maker's Mark Bourbon, Strawberries, Simple Syrup, Mint, Fresh, Lemon Juice, Strawberries, Ice",Bourbon,Sweet,3,44
Whisky Smash,https://www.thecocktailproject.com/drink-recipes/whisky-smash,"Maker's Mark Bourbon, Mint, Fresh, Maker's Mark Bourbon, Mint, Fresh, Lemon, Simple Syrup, Mint, Fresh, Lemon Wheel",Bourbon,Sour,3,42
Bellini Manhattan,https://www.thecocktailproject.com/drink-recipes/bellini-manhattan,"Maker's Mark Bourbon, Peach Puree, Maker's Mark Bourbon, Peach Puree, Vermouth, Sweet, Orange Bitters, Brut Champagne, Cherries",Bourbon,Sweet,3,41
Peach Lemonade Spritzer,https://www.thecocktailproject.com/drink-recipes/peach-lemonade-spritzer,"DeKuyper Peachtree Schnapps, Lemonade, DeKuyper Peachtree Schnapps, Lemonade, Soda Water, Lemon Twist",Cordials,Sweet,3,35
