Name,Link,Ingredients_x,Main Spirit,Flavor,Rating,Ratings Count,Ingredients_y,Color,Occasion,Description,orange,cranberry,pineapple,citrus,bitters,fresh,herb,cinnamon,Cinnamon,Mint,Lime
Black Mule,https://www.thecocktailproject.com/drink-recipes/black-mule,"Ginger Beer, Ginger Beer, Bitters, Lime Wedges",Tequila,Sweet,3,59,"Ginger Beer, Bitters, Lime Wedges",['yellow'],['summer'],,NA,NA,NA,citrus,NA,NA,NA,NA,nocinnamon,nomint,lime
Passion Car,https://www.thecocktailproject.com/drink-recipes/passion-car,"Courvoisier VS Cognac, DeKuyper Triple Sec Liqueur, Courvoisier VS Cognac, DeKuyper Triple Sec Liqueur, Lemon Sour, Passion Fruit Juice",Cognac,Sweet,3,39,"Courvoisier VS Cognac, DeKuyper Triple Sec Liqueur, Lemon Sour, Passion Fruit Juice",['yellow'],['fall'],,NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Rye in Paradise,https://www.thecocktailproject.com/drink-recipes/rye-paradise,"Alberta Rye Dark Batch???????????????? Whisky, Cruzan Coconut Rum, Alberta Rye Dark Batch???????????????? Whisky, Cruzan Coconut Rum, Pineapple Juice, Nutmeg",Rum,Sweet,3,28,"Alberta Rye Dark Batch???????????????????????? Whisky, Cruzan Coconut Rum, Pineapple Juice, Nutmeg",['brown'],['fall'],,NA,NA,pineapple,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
The Contemporary,https://www.thecocktailproject.com/drink-recipes/contemporary,"Sauza 901 Tequila, Agave Nectar, Sauza 901 Tequila, Agave Nectar, Orange Bitters, Orange Peel",Tequila,Sweet,3,46,"Sauza 901 Tequila, Agave Nectar, Orange Bitters, Orange Peel",['orange'],['fall'],,NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
First Class,https://www.thecocktailproject.com/drink-recipes/first-class-0,"Sauza 901 Tequila, DeKuyper Blue Curacao Liqueur, Sauza 901 Tequila, DeKuyper Blue Curacao Liqueur, Lemon Juice, Agave Nectar, Orange Bitters",Tequila,Sweet,3,39,"Sauza 901 Tequila, DeKuyper Blue Curacao Liqueur, Lemon Juice, Agave Nectar, Orange Bitters",['yellow'],['ladies-night'],,NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Tequiliano,https://www.thecocktailproject.com/drink-recipes/tequiliano,"Sauza 901 Tequila, Campari, Sauza 901 Tequila, Campari, Vermouth, Sweet, Agave Syrup",Tequila,Sweet,3,31,"Sauza 901 Tequila, Campari, Vermouth, Sweet, Agave Syrup",['red'],,,NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Courvoisier Old Fashioned,https://www.thecocktailproject.com/drink-recipes/courvoisier-old-fashioned,"Sugar, Orange Zest, Sugar, Orange Zest, Bitters",Cognac,Sweet,3,32,"Sugar, Orange Zest, Bitters",['orange'],,,NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Blazer,https://www.thecocktailproject.com/drink-recipes/blazer,"Courvoisier VSOP Cognac, DeKuyper Triple Sec Liqueur, Courvoisier VSOP Cognac, DeKuyper Triple Sec Liqueur, Coffee, Orange Zest, Bitters",Cognac,Sweet,3,29,"Courvoisier VSOP Cognac, DeKuyper Triple Sec Liqueur, Coffee, Orange Zest, Bitters",,"['christmas', 'winter']",,NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Sparkling Cognac,https://www.thecocktailproject.com/drink-recipes/sparkling-cognac,"Courvoisier VSOP Cognac, Champagne, Courvoisier VSOP Cognac, Champagne, Sugar Cubes",Cognac,Sweet,3,41,"Courvoisier VSOP Cognac, Champagne, Sugar Cubes",['yellow'],"['ladies-night', 'new-years', 'wedding']","Unless you?Â?re overlooking the rolling vineyards of France, a sparkling cognac cocktail is the next best thing. Proudly Parisian, this champagne cognac cocktail combines aromatic Courvoisier?? with a little bubbly and sugar for a sophisticated drink that?Â?s worth celebrating.",NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Chili Chocolate Orange,https://www.thecocktailproject.com/drink-recipes/chili-chocolate-orange,"Courvoisier VSOP Cognac, DeKuyper Creme De Cacao Dark Liqueur, Courvoisier VSOP Cognac, DeKuyper Creme De Cacao Dark Liqueur, Orange Juice, Orange Bitters",Cognac,Sweet,2,42,"Courvoisier VSOP Cognac, DeKuyper Creme De Cacao Dark Liqueur, Orange Juice, Orange Bitters",['brown'],,,orange,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Crusta,https://www.thecocktailproject.com/drink-recipes/crusta,"Courvoisier VSOP Cognac, DeKuyper Cherry Brandy, Courvoisier VSOP Cognac, DeKuyper Cherry Brandy, Lemon Juice, Bitters, Simple Syrup",Cognac,Sweet,3,26,"Courvoisier VSOP Cognac, DeKuyper Cherry Brandy, Lemon Juice, Bitters, Simple Syrup",['brown'],,,NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Courvoisier Sidecar,https://www.thecocktailproject.com/drink-recipes/courvoisier-sidecar,"Courvoisier VSOP Cognac, Lemon Juice, Courvoisier VSOP Cognac, Lemon Juice, Simple Syrup, Lemon Twist",Cognac,Sweet,3,55,"Courvoisier VSOP Cognac, Lemon Juice, Simple Syrup, Lemon Twist",['brown'],"['ladies-night', 'new-years', 'wedding']","A classic drink gets a classy makeover with Courvoisier?? VSOP Cognac. This Parisian cocktail begins with a simple sweetness, cut by tart lemon, and filled out with the full, fruity body of a delicious cognac. Simply shake, strain, and watch this sidecar cocktail get on your good side.",NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Apri Diem,https://www.thecocktailproject.com/drink-recipes/apri-diem,"Basil Hayden's Kentucky Straight Bourbon Whiskey, Apricot Jam, Basil Hayden's Kentucky Straight Bourbon Whiskey, Apricot Jam, Ginger, Sliced, Lemon Juice, Orange Bitters, Variations of the Classic Martini",Bourbon,Sweet,3,19,"Basil Hayden's Kentucky Straight Bourbon Whiskey, Apricot Jam, Ginger, Sliced, Lemon Juice, Orange Bitters, Variations of the Classic Martini",['yellow'],"['spring', 'summer']",,NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
A Warm Welcome,https://www.thecocktailproject.com/drink-recipes/warm-welcome,"Basil Hayden's Kentucky Straight Bourbon Whiskey, Egg White, Basil Hayden's Kentucky Straight Bourbon Whiskey, Egg White, Lime Juice, Simple Syrup, Nutmeg",Bourbon,Sweet,3,34,"Basil Hayden's Kentucky Straight Bourbon Whiskey, Egg White, Lime Juice, Simple Syrup, Nutmeg",['brown'],"['holiday', 'winter']",,NA,NA,NA,citrus,NA,NA,NA,NA,nocinnamon,nomint,lime
Harbor Punch,https://www.thecocktailproject.com/drink-recipes/harbor-punch,"Basil Hayden's Kentucky Straight Bourbon Whiskey, Iced Tea, Basil Hayden's Kentucky Straight Bourbon Whiskey, Iced Tea, Lemon Juice, Honey Syrup, Easy Ice Tips",Bourbon,Sweet,3,23,"Basil Hayden's Kentucky Straight Bourbon Whiskey, Iced Tea, Lemon Juice, Honey Syrup, Easy Ice Tips",['brown'],"['bbq', 'spring', 'summer']",,NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Honey Toddy,https://www.thecocktailproject.com/drink-recipes/honey-toddy,"Jim Beam Honey, Lemonade, Jim Beam Honey, Lemonade, Lemon Wedges, Soda Water, Whole Cloves, Cinnamon Stick, Shaking & Stirring",Bourbon,Hot,3,41,"Jim Beam Honey, Lemonade, Lemon Wedges, Soda Water, Whole Cloves, Cinnamon Stick, Shaking & Stirring",['brown'],"['fall', 'holiday', 'winter']",,NA,NA,NA,NA,NA,NA,NA,cinnamon,cinnamon,nomint,nolime
Fireside Coco,https://www.thecocktailproject.com/drink-recipes/fireside-coco,"Jim Beam Kentucky Fire????????????????, Hot Chocolate, Jim Beam Kentucky Fire????????????????, Hot Chocolate, Marshmallows, Cinnamon Stick",Bourbon,Hot,3,47,"Jim Beam Kentucky Fire????????????????????????, Hot Chocolate, Marshmallows, Cinnamon Stick",['brown'],"['christmas', 'fall', 'holiday', 'winter']",A crackling fireplace is the perfect place to snuggle up and sip on this spiked hot chocolate. Jim Beam?? Kentucky Fire??? adds a dose of spice with hot-candied cinnamon flavoring. Top it with fluffy marshmallows for a rich and creamy drink that feels like dessert.,NA,NA,NA,NA,NA,NA,NA,cinnamon,cinnamon,nomint,nolime
Fire Apple,https://www.thecocktailproject.com/drink-recipes/fire-apple,"Jim Beam Kentucky Fire????????????????, DeKuyper Red Apple Schnapps Liqueur, Jim Beam Kentucky Fire????????????????, DeKuyper Red Apple Schnapps Liqueur",Bourbon,Spicy,3,23,"Jim Beam Kentucky Fire????????????????????????, DeKuyper Red Apple Schnapps Liqueur",['red'],['fall'],,NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Fire Drop,https://www.thecocktailproject.com/drink-recipes/fire-drop,"Jim Beam Kentucky Fire????????????????, DeKuyper Triple Sec Liqueur, Jim Beam Kentucky Fire????????????????, DeKuyper Triple Sec Liqueur, Lemon Sour, Sugar",Bourbon,Sour,3,17,"Jim Beam Kentucky Fire????????????????????????, DeKuyper Triple Sec Liqueur, Lemon Sour, Sugar",['brown'],"['bbq', 'spring', 'summer']",,NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Bloody Beam,https://www.thecocktailproject.com/drink-recipes/bloody-beam,"Jim Beam Original, Basil Leaves, Jim Beam Original, Basil Leaves, Simple Syrup, Worcestershire sauce, Lemon Wedges",Bourbon,Savory,3,37,"Jim Beam Original, Basil Leaves, Simple Syrup, Worcestershire sauce, Lemon Wedges",['red'],['brunch'],,NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Beam Ade,https://www.thecocktailproject.com/drink-recipes/beam-ade,"DeKuyper Triple Sec Liqueur, Jim Beam Original, DeKuyper Triple Sec Liqueur, Jim Beam Original, Lemonade, Lemon Wedges, Shaking & Stirring",Bourbon,Sweet,3,18,"DeKuyper Triple Sec Liqueur, Jim Beam Original, Lemonade, Lemon Wedges, Shaking & Stirring",['yellow'],['summer'],,NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Jim Beam Manhattan,https://www.thecocktailproject.com/drink-recipes/jim-beam-manhattan,"Jim Beam Original, Vermouth, Sweet, Jim Beam Original, Vermouth, Sweet, Bitters, Lemon Peel, Maraschino Cherries",Bourbon,Savory,3,33,"Jim Beam Original, Vermouth, Sweet, Bitters, Lemon Peel, Maraschino Cherries",['brown'],,,NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Kentucky Sweet Tea,https://www.thecocktailproject.com/drink-recipes/kentucky-sweet-tea,"DeKuyper Peachtree Schnapps Liqueur, Jim Beam Original, DeKuyper Peachtree Schnapps Liqueur, Jim Beam Original, Lemon Wedges",Bourbon,Sweet,3,50,"DeKuyper Peachtree Schnapps Liqueur, Jim Beam Original, Lemon Wedges",['brown'],"['bbq', 'summer']",,NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Kentucky Sunrise,https://www.thecocktailproject.com/drink-recipes/kentucky-sunrise,"Grenadine, Jim Beam Original, Grenadine, Jim Beam Original, Orange Juice, Maraschino Cherries, Orange Slice",Bourbon,Fruity,3,41,"Grenadine, Jim Beam Original, Orange Juice, Maraschino Cherries, Orange Slice",['orange'],"['brunch', 'spring', 'summer']",,orange,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Cranberry Cooler,https://www.thecocktailproject.com/drink-recipes/cranberry-cooler,"Cranberry Juice, DeKuyper Triple Sec Liqueur, Cranberry Juice, DeKuyper Triple Sec Liqueur, Jim Beam Original, Lemon Sour, Lemon Wedges",Bourbon,Sweet,3,36,"Cranberry Juice, DeKuyper Triple Sec Liqueur, Jim Beam Original, Lemon Sour, Lemon Wedges",['red'],"['fall', 'thanksgiving', 'thanksgiving']",,NA,cranberry,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
DeKuyper Fuzzy Beam,https://www.thecocktailproject.com/drink-recipes/dekuyper-fuzzy-beam,"DeKuyper Peachtree Schnapps Liqueur, Jim Beam Original, DeKuyper Peachtree Schnapps Liqueur, Jim Beam Original, Orange Juice, Maraschino Cherries, Simple Garnishes",Bourbon,Fruity,3,15,"DeKuyper Peachtree Schnapps Liqueur, Jim Beam Original, Orange Juice, Maraschino Cherries, Simple Garnishes",['brown'],['spring'],,orange,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Bourbon Sour,https://www.thecocktailproject.com/drink-recipes/bourbon-sour,"Jim Beam Original, Lemon Juice, Jim Beam Original, Lemon Juice, Lemon-Lime Soda, Sugar, Lemon Wheel, Maraschino Cherries",Bourbon,Sour,3,36,"Jim Beam Original, Lemon Juice, Lemon-Lime Soda, Sugar, Lemon Wheel, Maraschino Cherries",['orange'],['summer'],,NA,NA,NA,citrus,NA,NA,NA,NA,nocinnamon,nomint,lime
Dernier Cri,https://www.thecocktailproject.com/drink-recipes/dernier-cri,"Jim Beam Bonded, Sour Mix, Jim Beam Bonded, Sour Mix, Green Chartreuse Liqueur, Mint, Fresh, Mint Sprig",Bourbon,Sour,3,13,"Jim Beam Bonded, Sour Mix, Green Chartreuse Liqueur, Mint, Fresh, Mint Sprig",['brown'],"['fall', 'spring']",,NA,NA,NA,NA,NA,fresh,NA,NA,nocinnamon,mint,nolime
Jim Beam Orleans,https://www.thecocktailproject.com/drink-recipes/jim-beam-orleans,"Jim Beam Rye, Bitters, Jim Beam Rye, Bitters, Simple Syrup, Absinthe, Lime Twist",Rye Whisky,Spicy,3,33,"Jim Beam Rye, Bitters, Simple Syrup, Absinthe, Lime Twist",['brown'],"['fall', 'holiday', 'wedding', 'winter']","Swap out the beer next Poker night for one of the tastiest rye whiskey cocktails around. This cocktail, served neat, combines flavors of sweet, tart, bitter and spicy for a complex cocktail that simply wows, leaving you and your buddies thirsting for more.",NA,NA,NA,citrus,NA,NA,NA,NA,nocinnamon,nomint,lime
The Rider,https://www.thecocktailproject.com/drink-recipes/rider,"Jim Beam Devil's Cut, Jim Beam Honey, Jim Beam Devil's Cut, Jim Beam Honey, Orange Juice, Sugar Cubes",Whiskey,Sweet,3,47,"Jim Beam Devil's Cut, Jim Beam Honey, Orange Juice, Sugar Cubes",['yellow'],"['brunch', 'fall', 'spring']",,orange,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Devil in the Morning,https://www.thecocktailproject.com/drink-recipes/devil-in-the-morning,"Grenadine, JDK & Sons???????????????? O3 Premium Orange Liqueur, Grenadine, JDK & Sons???????????????? O3 Premium Orange Liqueur, Jim Beam Devil's Cut, Orange Juice, Maraschino Cherries, Orange Wheel, Variations of the Classic Martini",Bourbon,Sweet,3,33,"Grenadine, JDK & Sons???????????????????????? O3 Premium Orange Liqueur, Jim Beam Devil's Cut, Orange Juice, Maraschino Cherries, Orange Wheel, Variations of the Classic Martini",['orange'],"['brunch', 'summer']",,orange,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Dancing with the Devil,https://www.thecocktailproject.com/drink-recipes/dancing-with-the-devil,"DeKuyper Triple Sec Liqueur, Jim Beam Devil's Cut, DeKuyper Triple Sec Liqueur, Jim Beam Devil's Cut, Lemon Sour, Passion Fruit Juice, Tabasco Hot Sauce, Maraschino Cherries",Bourbon,Spicy,3,29,"DeKuyper Triple Sec Liqueur, Jim Beam Devil's Cut, Lemon Sour, Passion Fruit Juice, Tabasco Hot Sauce, Maraschino Cherries",['brown'],['summer'],,NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Black Beauty,https://www.thecocktailproject.com/drink-recipes/black-beauty,"DeKuyper Peachtree Schnapps Liqueur, Jim Beam Black, DeKuyper Peachtree Schnapps Liqueur, Jim Beam Black, Cranberry Juice, Ice, Sugar",Bourbon,Sweet,3,32,"DeKuyper Peachtree Schnapps Liqueur, Jim Beam Black, Cranberry Juice, Ice, Sugar",['red'],['summer'],,NA,cranberry,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Front Porch Peach Tea,https://www.thecocktailproject.com/drink-recipes/front-porch-peach-tea,"DeKuyper Peachtree Schnapps Liqueur, Iced Tea, DeKuyper Peachtree Schnapps Liqueur, Iced Tea, Jim Beam Black, Lemon Wedges",Bourbon,Sweet,3,53,"DeKuyper Peachtree Schnapps Liqueur, Iced Tea, Jim Beam Black, Lemon Wedges",['brown'],"['bbq', 'spring', 'summer']",,NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Apple Highball,https://www.thecocktailproject.com/drink-recipes/apple-highball,"Bitters, Ginger Ale, Bitters, Ginger Ale, Apple Cider, Hard, Jim Beam Black, Lemon Wheel, Embracing Herbs and Spices",Bourbon,Sweet,3,30,"Bitters, Ginger Ale, Apple Cider, Hard, Jim Beam Black, Lemon Wheel, Embracing Herbs and Spices",['brown'],"['bbq', 'fall']",,NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Melon Ball,https://www.thecocktailproject.com/drink-recipes/melon-ball,"Midori Melon Liqueur, Pinnacle Original Vodka, Midori Melon Liqueur, Pinnacle Original Vodka, Orange Juice, Melon Balls",Cordials,Fruity,3,79,"Midori Melon Liqueur, Pinnacle Original Vodka, Orange Juice, Melon Balls, Simple Garnishes",['green'],"['ladies-night', 'summer', 'tropical']","It's a delicious Midori?? melon drink that's as easy as 1-2-3. Combine the fresh taste of melons with a little orange juice and a splash of vodka and you've got a simple but delicious cocktail that's ready to serve. The Midori?? Melon Ball is great for girls' night in, hanging by the pool with friends or just a sweet treat after a hard day's work.",orange,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Cruzan Daiquiri,https://www.thecocktailproject.com/drink-recipes/cruzan-daiquiri,"Cruzan Aged Light Rum, Lime Juice, Cruzan Aged Light Rum, Lime Juice, Simple Syrup",Rum,Fruity,3,46,"Cruzan Aged Light Rum, Lime Juice, Simple Syrup",['clear'],"['summer', 'tropical']","Perfect in its simplicity, this rum daiquiri is an easy-to-make crowd pleaser that's excellent for parties, enjoying poolside or just relaxing on the porch. It begins with Cruzan?? Aged Light Rum and combines a splash of lime juice and a pinch of sugar for a fresh lime daiquiri everyone will appreciate.",NA,NA,NA,citrus,NA,NA,NA,NA,nocinnamon,nomint,lime
Hurricane,https://www.thecocktailproject.com/drink-recipes/hurricane,"Cruzan Aged Light Rum, DeKuyper Triple Sec Liqueur, Cruzan Aged Light Rum, DeKuyper Triple Sec Liqueur, Pineapple Juice, Grenadine, Orange Wedges, Maraschino Cherries",Cordials,Fruity,3,52,"Cruzan Aged Light Rum, DeKuyper Triple Sec Liqueur, Pineapple Juice, Grenadine, Orange Wedges, Maraschino Cherries",['orange'],"['summer', 'tropical']","Get ready for a Hurricane Cocktail recipe that's sure to transport you back to New Orleans! Featuring the full-bodied, smooth taste of Cruzan?? Rum, a hint of orange flavor, fresh pineapple juice and a splash of grenadine, this colorful concoction will be a definite crowd pleaser at your next Mardi Gras party or any warm-weather gathering.",NA,NA,pineapple,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Cucumber Martini,https://www.thecocktailproject.com/drink-recipes/cucumber-martini,"EFFEN Cucumber Vodka, EFFEN Cucumber Vodka",Vermouth,Savory,3,41,EFFEN Cucumber Vodka,['clear'],"['ladies-night', 'summer']",,NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Cuba Libre,https://www.thecocktailproject.com/drink-recipes/cuba-libre,"Cruzan Aged Light Rum, Lime Juice, Cruzan Aged Light Rum, Lime Juice, Cola, Lime Wedges",Rum,Sweet,3,33,"Cruzan Aged Light Rum, Lime Juice, Cola, Lime Wedges",['brown'],['bbq'],,NA,NA,NA,citrus,NA,NA,NA,NA,nocinnamon,nomint,lime
Rum Runner,https://www.thecocktailproject.com/drink-recipes/rum-runner,"Cruzan Coconut Rum, DeKuyper Blackberry Brandy, Cruzan Coconut Rum, DeKuyper Blackberry Brandy, Pineapple Juice, Orange Juice, Grenadine, Pineapple Wedge",Cordials,Fruity,3,47,"Cruzan Coconut Rum, DeKuyper Blackberry Brandy, Pineapple Juice, Orange Juice, Grenadine, Pineapple Wedge",['pink'],"['summer', 'tropical']",,orange,NA,pineapple,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Vodka Collins,https://www.thecocktailproject.com/drink-recipes/vodka-collins,"Pinnacle Original Vodka, Sour Mix, Pinnacle Original Vodka, Sour Mix, Soda Water, Lemon Wedges, Better With Bitters",Vodka,Fruity,3,29,"Pinnacle Original Vodka, Sour Mix, Soda Water, Lemon Wedges, Better With Bitters",['yellow'],['summer'],,NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Mango Rum Margarita,https://www.thecocktailproject.com/drink-recipes/mango-rum-margarita,"Cruzan Mango Rum, DeKuyper Triple Sec Liqueur, Cruzan Mango Rum, DeKuyper Triple Sec Liqueur, Lime Juice, Mango",Cordials,Fruity,3,34,"Cruzan Mango Rum, DeKuyper Triple Sec Liqueur, Lime Juice, Mango",['yellow'],"['spring', 'summer']",,NA,NA,NA,citrus,NA,NA,NA,NA,nocinnamon,nomint,lime
Vodka Gimlet,https://www.thecocktailproject.com/drink-recipes/vodka-gimlet,"Pinnacle Original Vodka, Lime Juice, Pinnacle Original Vodka, Lime Juice, Simple Syrup, Lime Wedges",Vodka,Fruity,3,26,"Pinnacle Original Vodka, Lime Juice, Simple Syrup, Lime Wedges",['clear'],['summer'],,NA,NA,NA,citrus,NA,NA,NA,NA,nocinnamon,nomint,lime
Strawberry Daiquiri,https://www.thecocktailproject.com/drink-recipes/strawberry-daiquiri,"Cruzan Aged Light Rum, DeKuyper Triple Sec Liqueur, Cruzan Aged Light Rum, DeKuyper Triple Sec Liqueur, Strawberries, Lime Juice, Ice",Cordials,Frozen,3,34,"Cruzan Aged Light Rum, DeKuyper Triple Sec Liqueur, Strawberries, Lime Juice, Ice",['red'],"['ladies-night', 'summer', 'tropical']",,NA,NA,NA,citrus,NA,NA,NA,NA,nocinnamon,nomint,lime
Mudslide,https://www.thecocktailproject.com/drink-recipes/mudslide,"Pinnacle Original Vodka, Kamora Coffee Liqueur, Pinnacle Original Vodka, Kamora Coffee Liqueur, DeKuyper Creme De Cacao Dark Liqueur, Milk, Ice, Chocolate Syrup",Cordials,Sweet,3,39,"Pinnacle Original Vodka, Kamora Coffee Liqueur, DeKuyper Creme De Cacao Dark Liqueur, Milk, Ice, Chocolate Syrup",['brown'],"['birthday', 'ladies-night', 'summer']",,NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Moscow Mule,https://www.thecocktailproject.com/drink-recipes/moscow-mule,"Pinnacle Original Vodka, Lime Juice, Pinnacle Original Vodka, Lime Juice, Ginger Beer, Lime Wedges",Vodka,Sweet,3,50,"Pinnacle Original Vodka, Lime Juice, Ginger Beer, Lime Wedges",['clear'],"['bbq', 'spring', 'summer']",Spice things up with this sweet and snappy ginger drink. The Moscow Mule layers zingy ginger beer with refreshing lime and vodka for a lively cocktail. The warming sensation makes it great for cold weather while the zesty lime cools down a hot day.,NA,NA,NA,citrus,NA,NA,NA,NA,nocinnamon,nomint,lime
Midori and Ginger Beer,https://www.thecocktailproject.com/drink-recipes/midori-and-ginger-beer,"Midori Melon Liqueur, Ginger Beer, Midori Melon Liqueur, Ginger Beer",Cordials,Sweet,3,46,"Midori Melon Liqueur, Ginger Beer",['green'],['summer'],"Take the smooth, melon flavor of Midori?? and add a kick of ginger spice for one of the simplest ginger beer cocktails around. The vibrant green hue and fresh taste make it a great cocktail for St. Patrick?Â?s Day or summertime.",NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Green Eyed Ginger,https://www.thecocktailproject.com/drink-recipes/green-eyed-ginger,"2 GINGERS Whiskey, Midori Melon Liqueur, 2 GINGERS Whiskey, Midori Melon Liqueur, Ginger Ale, Lemon Wheel, Lime Wheel",Cordials,Fruity,3,43,"2 GINGERS Whiskey, Midori Melon Liqueur, Ginger Ale, Lemon Wheel, Lime Wheel",['green'],,"The smooth, balanced taste of whisky stands front and center, only to be complimented by the fruity sweetness of Midori??, and spicy notes of ginger. Garnish with a lemon and a lime for a perfect Irish whiskey cocktail.",NA,NA,NA,citrus,NA,NA,NA,NA,nocinnamon,nomint,lime
Emerald Daiquiri,https://www.thecocktailproject.com/drink-recipes/emerald-daiquiri,"Midori Melon Liqueur, Cruzan Aged Light Rum, Midori Melon Liqueur, Cruzan Aged Light Rum, Lime, Melon Wedge",Cordials,Sweet,3,19,"Midori Melon Liqueur, Cruzan Aged Light Rum, Lime, Melon Wedge",['green'],"['spring', 'summer', 'tropical']","The Emerald City has nothing on this bright green Midori?? Daiquiri. The dry, clean taste of Cruzan?? Light Rum pairs perfectly with the sweet melon flavor of Midori?? Liqueur. This colorful daiquiri is airy, yet filled with flavor, perfect for an afternoon drink.",NA,NA,NA,citrus,NA,NA,NA,NA,nocinnamon,nomint,lime
Midori Jim and Ginger,https://www.thecocktailproject.com/drink-recipes/jim-and-ginger,"Jim Beam Original, Mint, Fresh, Jim Beam Original, Mint, Fresh, Midori Melon Liqueur, Ginger Beer, Fresh Mint Leaves",Bourbon,Sweet,3,25,"Jim Beam Original, Mint, Fresh, Midori Melon Liqueur, Ginger Beer, Fresh Mint Leaves",['green'],"['bbq', 'spring', 'summer']",,NA,NA,NA,NA,NA,fresh,NA,NA,nocinnamon,mint,nolime
Garden Delight,https://www.thecocktailproject.com/drink-recipes/garden-delight,"Midori Melon Liqueur, Gin, Midori Melon Liqueur, Gin, Tonic Water, Cucumber, Rosemary Sprigs",Cordials,Sweet,3,58,"Midori Melon Liqueur, Gin, Tonic Water, Cucumber, Rosemary Sprigs",['green'],"['spring', 'summer', 'wedding']",,NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Bourbon Cider Cocktail,https://www.thecocktailproject.com/drink-recipes/bourbon-cider-cocktail,"Maker's Mark Bourbon, Sugar, Maker's Mark Bourbon, Sugar, Bitters, Hard Cider, Dry, Maraschino Cherries",Bourbon,Fruity,3,84,"Maker's Mark Bourbon, Sugar, Bitters, Hard Cider, Dry, Maraschino Cherries",['brown'],"['fall', 'holiday', 'thanksgiving']","Take the crisp, dry apple flavor of hard cider and combine it with bourbon and bitters for a cocktail experience unlike any other. Bold, sweet and fruity, this is one cider cocktail with a lot of attitude - perfect for Fall, Thanksgiving and Holiday parties.",NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Kentucky Bubbly,https://www.thecocktailproject.com/drink-recipes/kentucky-bubbly,"Maker's Mark Bourbon, Apple Cider, Chilled Sparkling, Maker's Mark Bourbon, Apple Cider, Chilled Sparkling, Maraschino Cherries",Bourbon,Sweet,3,26,"Maker's Mark Bourbon, Apple Cider, Chilled Sparkling, Maraschino Cherries",['yellow'],"['ladies-night', 'new-years']",,NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
Bourbon Bonn Bonn,https://www.thecocktailproject.com/drink-recipes/bourbon-bonn-bonn,"Maker's Mark Bourbon, DeKuyper Creme De Cacao Dark Liqueur, Maker's Mark Bourbon, DeKuyper Creme De Cacao Dark Liqueur, Half and Half",Bourbon,Sweet,3,27,"Maker's Mark Bourbon, DeKuyper Creme De Cacao Dark Liqueur, Half and Half",['brown'],"['holiday', 'winter']",,NA,NA,NA,NA,NA,NA,NA,NA,nocinnamon,nomint,nolime
